;;;;;;;;;;;;;;;;;Art der Anweisung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kostenteilungsschl¸Åssel (ohne GP Netzreseve);;;;Weiterverrechnungsschl¸Åssel (mit GP Netzreseve);;;;;;;;Leistung (MW);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;variable Erzeugungsauslagen [Ä/Viertelstunde];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Arbeitsabh‰ngige Sonstige Kosten [Ä/Viertelstunden];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Anteiliger Werteverbrauch [Ä/Viertelstunde];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Entgangene Erlˆse Intraday [Ä/Viertelstunde];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TM von;TM bis;Zeit von;Zeit bis;GM-Ident;GM-Art;Tages-TM-Ident;TM-Art;Ursache;Auslˆsender Prozess;Anforderer;¸Åberlastetes Netzelement;Zust‰ndiger RAS-‹NB ;Aktivierungsobjekt;AO-Code;AO-Art;Anschlussregelzone des AO;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Art der Anweisung;Gegenl‰ufigkeit;TM-Richtung;Kostenteilungsmechanismus;Kostenstand;Gesamtkosten [Ä];Anteil WV Amprion;Anteil WV TenneT;Anteil WV TransnetBW;Anteil WV 50Hertz;Anteil WV Amprion;Anteil WV TenneT;Anteil WV TransnetBW;Anteil WV 50Hertz;WV Amprion;WV TenneT;WV TransnetBW;WV 50Hertz;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Menge [MWh] ;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Summe variable Erzeugungsauslagen [Ä];Kosten fÅ¸r An- und Abfahrt [Ä];Auslagen f¸År die Herstellung der Betriebsbereitschaft oder die Verschiebung einer geplanten Revision;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Arbeitsabh‰ngige Sonstige Kosten [Ä];Arbeitsunabh‰ngige Sonstige Kosten [Ä];1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Anteiliger Werteverbrauch [Ä];1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Entgangene Erlˆse Intraday [Ä]
04.09.2022;04.09.2022;15:00;17:00;RD-22-02504;Redispatch;20220904_RD-22-02504_13(1)MKW-015;Markt-KW 13(1);I;PRD2;50Hertz/Amprion/TenneT DE/TransnetBW;AMP / 380kV / Buerstadt - Lambsheim / Buerstadt West;50Hertz;Lippendorf VE;11WD8LIPD1LD8--U;KW-Block;10YDE-VE-------2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Senke;0;0;-13945,74;55,11936;39,58636;1,57588;3,7184;55,11936;39,58636;1,57588;3,7184;-7686,802635;-5520,610841;-219,7681275;-518,5583962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-150;-150;-150;-150;-150;-150;-150;-150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2.946,91;-2.946,91;-2.946,91;-2.946,91;-2.946,91;-2.946,91;-2.946,91;-2.946,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-23.575,28;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.168,22;2.672,62;204,06;52,64;1.252,90;207,95;69,46;1,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.629,54
05.09.2022;05.09.2022;16:45;00:00;RD-22-02510;Redispatch;20220905_RD-22-02510_13(1)MKW-012;Markt-KW 13(1);I;PRD2;50Hertz/Amprion/TenneT DE/TransnetBW;AMP-TTG / 380kV / Doerpen West - Meppen - Niederlangen / Emsland O-W//AMP / 380kV / Buerstadt - Lambsheim / Buerstadt West;50Hertz;Lippendorf VE;11WD8LIPD1LD8--U;KW-Block;10YDE-VE-------2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;E;Nein;Senke;0;0;-146416,22;55,11936;39,58636;1,57588;3,7184;72,26731;0,15841;27,5594;0,01488;-105811,0636;-231,9379341;-40351,43173;-21,78673354;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-80;-120;-160;-200;-200;-200;-200;-200;-200;-300;-300;-300;-300;-300;-300;-300;-300;-300;-300;-300;-300;-300;-300;-300;-300;-300;-300;-300;-300;;;;;-1.890,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.571,68;-2.357,53;-3.143,37;-3.929,21;-3.929,21;-3.929,21;-3.929,21;-3.929,21;-3.929,21;-5.893,82;-5.893,82;-5.893,82;-5.893,82;-5.893,82;-5.893,82;-5.893,82;-5.893,82;-5.893,82;-5.893,82;-5.893,82;-5.893,82;-5.893,82;-5.893,82;-5.893,82;-5.893,82;-5.893,82;-5.893,82;-5.893,82;-5.893,82;;;;;-148.524,24;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,07;190,91;1,74;0;0;0;0;0;0;0;0;0;8,59;0;0;0;0;3,01;0;0,09;68,34;0;0,81;6,27;458,83;0,18;5,38;28,5;1.335,29;;;;;2.108,02
05.09.2022;05.09.2022;17:45;19:00;RD-22-02510;Redispatch;20220905_RD-22-02510_13(1)MKW-013;Markt-KW 13(1);I;PRD2;50Hertz/Amprion/TenneT DE/TransnetBW;AMP-TTG / 380kV / Doerpen West - Meppen - Niederlangen / Emsland O-W//AMP / 380kV / Buerstadt - Lambsheim / Buerstadt West;50Hertz;J‰nschwalde (Standort);11WD8JAEN1L----Z;KW-Standort;10YDE-VE-------2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Senke;0;0;-10742,2;55,11936;39,58636;1,57588;3,7184;74,16311;0;25,83689;0;-7966,749602;0;-2775,450398;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-100;-100;-100;-100;-100;;;;;;;;;;;;;;;;;;;;;;;;;-125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2.148,44;-2.148,44;-2.148,44;-2.148,44;-2.148,44;;;;;;;;;;;;;;;;;;;;;;;;;-10.742,20;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;0
05.09.2022;05.09.2022;17:45;22:30;RD-22-02510;Redispatch;20220905_RD-22-02510_13(1)MKW-014;Markt-KW 13(1);I;PRD2;50Hertz/Amprion/TenneT DE/TransnetBW;AMP-TTG / 380kV / Doerpen West - Meppen - Niederlangen / Emsland O-W//AMP / 380kV / Buerstadt - Lambsheim / Buerstadt West;50Hertz;Schwarze Pumpe (Standort);11WD8SWPU1L----5;KW-Standort;10YDE-VE-------2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;;;;;;;E;Nein;Senke;0;0;-33524,69;55,11936;39,58636;1,57588;3,7184;71,26736;0,1974;28,5167;0,01854;-23892,16151;-66,17773806;-9560,135273;-6,215477526;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-40;-160;-160;-160;-160;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-90;-50;-10;;;;;;;;;;;-455;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-737,26;-2.949,04;-2.949,04;-2.949,04;-2.949,04;-1.658,84;-1.658,84;-1.658,84;-1.658,84;-1.658,84;-1.658,84;-1.658,84;-1.658,84;-1.658,84;-1.658,84;-1.658,84;-1.658,84;-921,58;-184,31;;;;;;;;;;;-33.545,39;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;2,33;0;0;0;0;0,8;0;0,02;17,53;0;0,02;;;;;;;;;;;20,7
07.09.2022;07.09.2022;00:00;08:00;RD-22-02531;Redispatch;20220907_RD-22-02531_13(1)MKW-005;Markt-KW 13(1);I;WAPP;50Hertz/Amprion/TenneT DE/TransnetBW;AMP / 380kV / Buerstadt - Lambsheim / Buerstadt West;50Hertz;Lippendorf VE;11WD8LIPD1LD8--U;KW-Block;10YDE-VE-------2;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Senke;0;0;-120604,5;50,34348;43,14703;0,4379;6,07159;50,34348;43,14703;0,4379;6,07159;-60716,50234;-52037,2598;-528,1271055;-7322,610762;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.600,00;-3.768,90;-3.768,90;-3.768,90;-3.768,90;-3.768,90;-3.768,90;-3.768,90;-3.768,90;-3.768,90;-3.768,90;-3.768,90;-3.768,90;-3.768,90;-3.768,90;-3.768,90;-3.768,90;-3.768,90;-3.768,90;-3.768,90;-3.768,90;-3.768,90;-3.768,90;-3.768,90;-3.768,90;-3.768,90;-3.768,90;-3.768,90;-3.768,90;-3.768,90;-3.768,90;-3.768,90;-3.768,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-120.604,80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,17;0,02;0;0;0;0,01;0,02;0;0,03;0;0;0;0,02;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3
07.09.2022;07.09.2022;00:00;08:00;RD-22-02531;Redispatch;20220907_RD-22-02531_13(1)MKW-008;Markt-KW 13(1);I;WAPP;50Hertz/Amprion/TenneT DE/TransnetBW;AMP / 380kV / Buerstadt - Lambsheim / Buerstadt West;50Hertz;Lippendorf EnBW;11WD8LIPD1LD4--9;KW-Block;10YDE-VE-------2;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Senke;0;0;-21388,2;50,34348;43,14703;0,4379;6,07159;50,34348;43,14703;0,4379;6,07159;-10767,56419;-9228,37307;-93,6589278;-1298,603812;-100;-100;-100;-100;0;0;0;0;0;0;0;0;-100;-100;-100;-100;0;0;0;0;-45;-45;-45;-45;-60;-60;-60;-60;-60;-60;-60;-60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-365;-1.627,50;-1.627,50;-1.627,50;-1.627,50;0;0;0;0;0;0;0;0;-1.627,50;-1.627,50;-1.627,50;-1.627,50;0;0;0;0;-732,38;-732,38;-732,38;-732,38;-976,5;-976,5;-976,5;-976,5;-976,5;-976,5;-976,5;-976,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-23.761,52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;159,2;159,2;159,2;159,2;0;0;0;0;0;0;0;0;159,2;159,2;159,2;159,2;0;0;0;0;75,85;75,85;75,85;75,85;99,54;99,54;99,54;99,54;99,54;99,54;99,54;99,54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.373,32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
07.09.2022;07.09.2022;00:00;08:00;RD-22-02531;Redispatch;20220907_RD-22-02531_13(1)MKW-009;Markt-KW 13(1);I;WAPP;50Hertz/Amprion/TenneT DE/TransnetBW;AMP / 380kV / Buerstadt - Lambsheim / Buerstadt West;50Hertz;Schwarze Pumpe (Standort);11WD8SWPU1L----5;KW-Standort;10YDE-VE-------2;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Senke;0;0;-46806,05;50,34348;43,14703;0,4379;6,07159;50,34348;43,14703;0,4379;6,07159;-23563,79442;-20195,42044;-204,963693;-2841,871451;-150;-150;-150;-150;-85;-85;-85;-85;-80;-80;-80;-80;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-100;-100;-100;-100;-101;-101;-101;-101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-666;-2.687,00;-2.687,00;-2.687,00;-2.687,00;-1.522,63;-1.522,63;-1.522,63;-1.522,63;-1.390,61;-1.390,61;-1.390,61;-1.390,61;-869,13;-869,13;-869,13;-869,13;-869,13;-869,13;-869,13;-869,13;-869,13;-869,13;-869,13;-869,13;-1.738,27;-1.738,27;-1.738,27;-1.738,27;-1.755,65;-1.755,65;-1.755,65;-1.755,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-46.806,20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,11;0,01;0;0;0;0;0,01;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,15
08.09.2022;08.09.2022;10:30;11:30;RD-22-02553;Redispatch;20220908_RD-22-02553_13(1)MKW-002;Markt-KW 13(1);I;interner RD;50Hertz;50H / 380kV / Reuter - Mitte / 903;50Hertz;Markersbach (Standort);11WD8MARK1H----7;KW-Standort;10YDE-VE-------2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Quelle;0;0;180417,04;0;0;0;100;0;0;0;100;0;0;0;180417,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;300;300;300;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45104,26;45104,26;45104,26;45104,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;180.417,04;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
13.09.2022;13.09.2022;18:00;19:00;RD-22-02570;Redispatch;20220913_RD-22-02570_13(1)MKW-002;Markt-KW 13(1);I;interner RD;50Hertz;Testbetrieb;50Hertz;50H HAP Halle-Dieselstr HKW-BlockC;11W0-0000-0412-U;KW-Standort;10YDE-VE-------2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Senke;0;0;0;0;0;0;100;0;0;0;100;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2;-2;-2;-2;;;;;;;;;;;;;;;;;;;;;;;;;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;0,00;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;0
