;;;;;;;;;;;;;;;;;Art der Anweisung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kostenteilungsschl¸Åssel (ohne GP Netzreseve);;;;Weiterverrechnungsschl¸Åssel (mit GP Netzreseve);;;;;;;;Leistung (MW);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;variable Erzeugungsauslagen [Ä/Viertelstunde];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Arbeitsabh‰ngige Sonstige Kosten [Ä/Viertelstunden];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Anteiliger Werteverbrauch [Ä/Viertelstunde];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Entgangene Erlˆse Intraday [Ä/Viertelstunde];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.09.2022;13.09.2022;18:00;19:00;RD-22-02570;Redispatch;20220913_RD-22-02570_Boerse-004;Bˆrse;I;interner RD;50Hertz;Testbetrieb;50Hertz;Bˆrse;50H_Frontoffice;Bˆrse;10YDE-VE-------2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Quelle;0;0;1032,48;0;0;0;100;0;0;0;100;0;0;0;1032,48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;258,12;258,12;258,12;258,12;;;;;;;;;;;;;;;;;;;;;;;;;1.032,48;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;0
15.09.2022;15.09.2022;14:00;15:00;RD-22-02589;Redispatch;20220915_RD-22-02589_13(1)MKW-043;Markt-KW 13(1);I;PRD2;50Hertz/Amprion/TenneT DE/TransnetBW;AMP-TTG / 380kV / Doerpen West - Meppen - Niederlangen / Emsland O-W;50Hertz;HAP J‰nschwalde (Standort);11WD8JAEN1L----Z;KW-Standort;10YDE-VE-------2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Senke;0;0;-11652,14;55,11936;39,58636;1,57588;3,7184;66,16255;29,84587;1,18812;2,80346;-7709,352954;-3477,682557;-138,4414058;-326,663084;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-150;-150;-150;-150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2960;-2960;-2960;-2960;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-11.840,00;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80,69;58,72;31,11;17,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;187,86
15.09.2022;15.09.2022;14:00;15:00;RD-22-02589;Redispatch;20220915_RD-22-02589_13(1)MKW-044;Markt-KW 13(1);I;PRD2;50Hertz/Amprion/TenneT DE/TransnetBW;AMP-TTG / 380kV / Doerpen West - Meppen - Niederlangen / Emsland O-W;50Hertz;HAP Boxberg (Standort);11WD8BOXB1L----J;KW-Standort;10YDE-VE-------2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Senke;0;0;-3803,7;55,11936;39,58636;1,57588;3,7184;66,16255;29,84587;1,18812;2,80346;-2516,624914;-1135,247357;-45,19252044;-106,635208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-50;-50;-50;-50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-966,03;-966,03;-966,03;-966,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3.864,12;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26,06;18,9;9,95;5,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60,42
15.09.2022;15.09.2022;14:00;00:00;RD-22-02595;Redispatch;20220915_RD-22-02595_13(1)MKW-004;Markt-KW 13(1);I;Amtshilfe f¸r;Amprion/TenneT DE;AMP-TTG / 380kV / Frankfurt Sued - Karben - Kriftel / Taunus 2;50Hertz;HAP Boxberg (Standort);11WD8BOXB1L----J;KW-Standort;10YDE-VE-------2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;E;Nein;Senke;0;0;-77765,61;50;50;0;0;50;50;0;0;-38882,805;-38882,805;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;;;;;-1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1873,52;-1873,52;-1873,52;-1873,52;-1975,06;-1975,06;-1975,06;-1975,06;-1952,72;-1952,72;-1952,72;-1952,72;-1952,72;-1952,72;-1952,72;-1952,72;-1952,72;-1952,72;-1952,72;-1952,72;-1952,72;-1952,72;-1952,72;-1952,72;-1956,78;-1956,78;-1956,78;-1956,78;-1983,18;-1983,18;-1983,18;-1983,18;-1983,18;-1983,18;-1983,18;-1983,18;-1983,18;-1983,18;-1983,18;-1983,18;;;;;-78.263,12;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50,23;36,32;19,01;10,46;66,26;19,54;4,38;3,97;110,44;11,83;13,87;6,99;46,86;5,53;0,11;0,16;0,05;0,02;0,13;0,02;0,03;0,21;0,01;2,44;0,28;0,01;0;0;0,12;0;0,04;7,42;0;0,06;1,6;36,89;0,11;0,78;2,95;38,38;;;;;497,51
15.09.2022;15.09.2022;14:00;00:00;RD-22-02595;Redispatch;20220915_RD-22-02595_13(1)MKW-005;Markt-KW 13(1);I;Amtshilfe f¸r;Amprion/TenneT DE;AMP-TTG / 380kV / Frankfurt Sued - Karben - Kriftel / Taunus 2;50Hertz;HAP Schwarze Pumpe (Standort);11WD8SWPU1L----5;KW-Standort;10YDE-VE-------2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;E;Nein;Senke;0;0;-170202,34;50;50;0;0;50;50;0;0;-85101,17;-85101,17;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-260;-260;-260;-260;-260;-260;-260;-260;-260;-260;-260;-260;-260;-260;-260;-260;-260;-260;-260;-260;-260;-260;-260;-260;-260;-260;-260;-260;-260;-260;-260;-260;-260;-260;-260;-260;-260;-260;-260;-260;;;;;-2600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-4301,57;-4301,57;-4276,64;-4276,64;-4276,64;-4276,64;-4276,64;-4276,64;-4276,64;-4276,64;-4276,64;-4276,64;-4276,64;-4276,64;-4276,64;-4276,64;-4276,64;-4276,64;-4276,64;-4276,64;-4276,64;-4276,64;-4276,64;-4276,64;-4276,64;-4276,64;-4276,64;-4276,64;-4276,64;-4276,64;-4276,64;-4276,64;-4276,64;-4276,64;-4276,64;-4276,64;-4276,64;-4276,64;-4301,57;-4301,57;;;;;-171.165,32;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;109,48;77,57;38,63;20,24;129,54;34,39;6,82;6,32;223,67;20,73;25,4;12,47;94,38;9,84;0,15;0,27;0,07;0,02;0,2;0,03;0,05;0,34;0,01;4,69;0,5;0,02;0;0;0,19;0;0,05;12,49;0;0,08;2,4;66,6;0,13;0,97;3,81;60,42;;;;;962,98
16.09.2022;16.09.2022;08:00;17:00;RD-22-02604;Redispatch;20220916_RD-22-02604_13(1)MKW-014;Markt-KW 13(1);I;PRD1;50Hertz/Amprion/TenneT DE/TransnetBW;AMP-TTG / 380kV / Doerpen West - Meppen - Niederlangen / Emsland O-W;50Hertz;Lippendorf EnBW;11WD8LIPD1LD4--9;KW-Block;10YDE-VE-------2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Senke;0;0;-69349,75;48,48829;37,62722;2,54825;11,33624;48,48829;37,62722;2,54825;11,33624;-33626,50789;-26094,383;-1767,205004;-7861,654099;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-172;-172;-172;-172;-372;-372;-372;-372;-372;-372;-372;-372;-372;-372;-372;-372;-258;-258;-258;-258;-58;0;0;0;0;0;0;0;0;0;0;0;-50;-50;-50;-50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1610,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2726,2;-2726,2;-2726,2;-2726,2;-5896,2;-5896,2;-5896,2;-5896,2;-5896,2;-5896,2;-5896,2;-5896,2;-5896,2;-5896,2;-5896,2;-5896,2;-4089,3;-4089,3;-4089,3;-4089,3;-919,3;0;0;0;0;0;0;0;0;0;0;0;-792,5;-792,5;-792,5;-792,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-102.105,70;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;255,28;255,28;255,28;255,28;464,68;464,68;464,68;464,68;464,68;464,68;464,68;0;464,68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.738,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;880,6;0;882,24;1401,78;4741,58;336,08;1601,6;2942,24;5198,76;1948,94;0;0;0;0;0;0;0;0;0;0;0;6847,46;903,61;208,25;124,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28017,39
16.09.2022;16.09.2022;08:00;18:00;RD-22-02604;Redispatch;20220916_RD-22-02604_13(1)MKW-015;Markt-KW 13(1);I;PRD1;50Hertz/Amprion/TenneT DE/TransnetBW;AMP-TTG / 380kV / Doerpen West - Meppen - Niederlangen / Emsland O-W;50Hertz;Lippendorf VE;11WD8LIPD1LD8--U;KW-Block;10YDE-VE-------2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Senke;0;0;-117184,9;48,48829;37,62722;2,54825;11,33624;48,48829;37,62722;2,54825;11,33624;-56820,95415;-44093,42013;-2986,164214;-13284,36151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-188;-188;-188;-188;-388;-388;-388;-388;-388;-388;-388;-388;-388;-388;-388;-388;-405;-405;-405;-405;0;0;0;0;0;0;0;0;0;0;0;0;-190;-190;-190;-190;-57;-57;-57;-57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3442,85;-3442,85;-3442,85;-3442,85;-7105,46;-7105,46;-7105,46;-7105,46;-7105,46;-7105,46;-7105,46;-7105,46;-7105,46;-7105,46;-7105,46;-7105,46;-7416,79;-7416,79;-7416,79;-7416,79;0;0;0;0;0;0;0;0;0;0;0;0;-3479,48;-3479,48;-3479,48;-3479,48;-1043,84;-1043,84;-1043,84;-1043,84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-146.797,36;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0,12;0;0,02;4,49;278,67;0,97;81,3;215,6;882,3;189,25;885,24;1408,03;4829,66;506,3;2444,35;3495,53;6213,33;0;0;0;0;0;0;0;0;0;0;0;0;4198,5;1577,27;767,88;456,25;945,42;199,78;21,27;10,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29612,46
16.09.2022;16.09.2022;08:00;18:00;RD-22-02604;Redispatch;20220916_RD-22-02604_13(1)MKW-016;Markt-KW 13(1);I;PRD1;50Hertz/Amprion/TenneT DE/TransnetBW;AMP-TTG / 380kV / Doerpen West - Meppen - Niederlangen / Emsland O-W;50Hertz;Schwarze Pumpe (Standort);11WD8SWPU1L----5;KW-Standort;10YDE-VE-------2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Senke;0;0;-128525,11;48,48829;37,62722;2,54825;11,33624;48,48829;37,62722;2,54825;11,33624;-62319,62806;-48360,42589;-3275,141116;-14569,91493;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-50;-50;-50;-50;-50;-50;-50;-50;-702;-702;-702;-702;-501;-501;-501;-501;-630;-630;-630;-630;-60;-60;-60;-60;0;0;0;0;0;0;0;0;-480;-480;-480;-480;-153;-153;-153;-153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2626;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-847,97;-847,97;-847,97;-847,97;-847,97;-847,97;-847,97;-847,97;-12043,29;-12043,29;-12043,29;-12043,29;-8634,44;-8634,44;-8634,44;-8634,44;-10830,49;-10830,49;-10830,49;-10830,49;-1017,57;-1017,57;-1017,57;-1017,57;0;0;0;0;0;0;0;0;-8286,57;-8286,57;-8286,57;-8286,57;-2674,02;-2674,02;-2674,02;-2674,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-180.729,28;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0,02;0;0;0,46;31,85;1,39;127,36;338,55;1445,4;215,49;1045,68;1666,87;5903,83;713,89;3554,48;5111,11;9215,73;227,23;528,45;659,44;1495,89;0;0;0;0;0;0;0;0;10236,37;3754,53;1813,64;1067,89;2462,15;507,34;52,07;27,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52204,17
16.09.2022;16.09.2022;13:00;00:00;RD-22-02605;Redispatch;20220916_RD-22-02605_13(1)MKW-038;Markt-KW 13(1);I;PRD2;50Hertz/Amprion/TenneT DE/TransnetBW;AMP-TTG / 380kV / Doerpen West - Meppen - Niederlangen / Emsland O-W//50H / 220kV / G¸strow - Pasewalk / 315;50Hertz;Boxberg (Standort);11WD8BOXB1L----J;KW-Standort;10YDE-VE-------2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;E;Nein;Senke;0;0;-68807,79;55,11936;39,58636;1,57588;3,7184;55,74905;36,35153;4,48487;3,41455;-38359,68925;-25012,68442;-3085,939931;-2349,476393;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-400;-400;-400;-400;-340;-340;-340;-340;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-161;-161;-161;-161;-148;-148;-148;-148;0;0;0;0;-159;-159;-159;-159;-182;-182;-182;-182;;;;;-1390;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-7320,33;-7320,33;-7320,33;-7320,33;-6207,78;-6207,78;-6207,78;-6207,78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3363,56;-3363,56;-3363,56;-3363,56;-3011,39;-3011,39;-3011,39;-3011,39;0;0;0;0;-3044,98;-3044,98;-3044,98;-3044,98;-3407,93;-3407,93;-3407,93;-3407,93;;;;;-105.423,88;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7264,68;4411,45;4247,29;3512,24;4062,78;3585,68;3411,01;2498,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25,36;12,5;1,41;38,75;6,37;1,81;1,11;2,18;0;0;0;0;10,36;243,45;425,41;1014,34;46,34;65,88;503,42;1223,52;;;;;36616,09
