;;;;;;;;;;;;;;;;;Art der Anweisung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kostenteilungsschl¸Åssel (ohne GP Netzreseve);;;;Weiterverrechnungsschl¸Åssel (mit GP Netzreseve);;;;;;;;Leistung (MW);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;variable Erzeugungsauslagen [Ä/Viertelstunde];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Arbeitsabh‰ngige Sonstige Kosten [Ä/Viertelstunden];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Anteiliger Werteverbrauch [Ä/Viertelstunde];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Entgangene Erlˆse Intraday [Ä/Viertelstunde];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.09.2022;16.09.2022;00:00;00:00;RD-22-02605;Redispatch;20220916_RD-22-02605_13(1)MKW-039;Markt-KW 13(1);I;PRD2;50Hertz/Amprion/TenneT DE/TransnetBW;AMP-TTG / 380kV / Doerpen West - Meppen - Niederlangen / Emsland O-W//50H / 220kV / G¸strow - Pasewalk / 315;50Hertz;Schwarze Pumpe (Standort);11WD8SWPU1L----5;KW-Standort;10YDE-VE-------2;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;E;Nein;Senke;0;0;-304435,66;55,11936;39,58636;1,57588;3,7184;55,71857;37,74707;2,98873;3,54563;-169627,1963;-114915,5417;-9098,759901;-10794,16209;-174;-174;-174;-174;-145;-145;-145;-145;-100;-100;-100;-100;-149;-149;-149;-149;-50;-50;-50;-50;-149;-149;-149;-149;-149;-149;-149;-149;-172;-172;-172;-172;-360;-360;-360;-360;-146;-146;-146;-146;0;0;0;0;-167;-167;-167;-167;-65;-65;-65;-65;-122;-122;-122;-122;-60;-60;-60;-60;0;0;0;0;0;0;0;0;-273;-273;-273;-273;-310;-310;-310;-310;-436;-436;-436;-436;-436;-436;-436;-436;-585;-585;-585;-585;-436;-436;-436;-436;-436;-436;-436;-436;;;;;-4920;-2.950,95;-2.950,95;-2.950,95;-2.950,95;-2459,12;-2459,12;-2459,12;-2459,12;-1695,95;-1695,95;-1695,95;-1695,95;-2.526,96;-2.526,96;-2.526,96;-2.526,96;-847,97;-847,97;-847,97;-847,97;-2526,96;-2526,96;-2526,96;-2526,96;-2526,96;-2526,96;-2526,96;-2526,96;-2917,03;-2917,03;-2917,03;-2917,03;-6191,37;-6191,37;-6191,37;-6191,37;-2551,68;-2551,68;-2551,68;-2551,68;0;0;0;0;-2832,23;-2832,23;-2832,23;-2832,23;-1102,37;-1102,37;-1102,37;-1102,37;-2069,06;-2069,06;-2069,06;-2069,06;-1017,57;-1017,57;-1017,57;-1017,57;0;0;0;0;0;0;0;0;-4675,5;-4675,5;-4675,5;-4675,5;-5336,66;-5336,66;-5336,66;-5336,66;-7519,12;-7519,12;-7519,12;-7519,12;-7519,12;-7519,12;-7519,12;-7519,12;-10077,67;-10077,67;-10077,67;-10077,67;-7519,12;-7519,12;-7519,12;-7519,12;-7519,12;-7519,12;-7519,12;-7519,12;;;;;-337.529,96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0,00;60,48;43,48;100,83;388,09;5,7;57,75;210,85;113,11;67,01;61,96;118,68;156,6;153,42;66,21;91,73;175,26;80,4;62,22;35,09;14,06;423,76;87,72;2,12;0,2;39,29;0;0;0;0;0;0;0;0;0;0;0,18;0;0;1,46;97,39;0;0;0;0;69,51;340,57;543,18;1940,13;72,14;361,56;520,51;941,36;462,04;1074,51;1340,86;3041,65;754,09;668,5;638,69;472,8;0;0;0;0;0;0;0;0;4337,46;884,33;89,38;46,69;67,3;6,65;15,34;6,19;45,41;22,56;2,18;78,65;13,8;3,25;1,72;3,13;76,73;24,47;558,99;2999,68;20,11;551,13;987,31;2464,91;88,7;123,18;1018;2599,91;;;;;33094,3
16.09.2022;16.09.2022;10:00;13:00;RD-22-02605;Redispatch;20220916_RD-22-02605_13(1)MKW-101;Markt-KW 13(1);I;PRD2;50Hertz/Amprion/TenneT DE/TransnetBW;AMP-TTG / 380kV / Doerpen West - Meppen - Niederlangen / Emsland O-W//50H / 220kV / G¸strow - Pasewalk / 315;50Hertz;J‰nschwalde (Standort);11WD8JAEN1L----Z;KW-Standort;10YDE-VE-------2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Senke;0;0;-8413,27;55,11936;39,58636;1,57588;3,7184;56,14;31,07307;9,8682;2,91873;-4723,209778;-2614,261276;-830,2383101;-245,5606355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-20;-20;-20;-20;-92;-92;-92;-92;-45;-45;-45;-45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-414,83;-414,83;-414,83;-414,83;-1908,21;-1908,21;-1908,21;-1908,21;-933,37;-933,37;-933,37;-933,37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-13.025,64;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,08;5,63;14,83;55,66;59,13;255,05;403,27;1289,57;1283,37;602,77;408,47;234,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4612,37
16.09.2022;16.09.2022;05:45;08:00;RD-22-02609;Redispatch;20220916_RD-22-02609_Boerse-002;Bˆrse;I;interner RD;50Hertz;50H / 220kV / Bertikow - Pasewalk / 305;50Hertz;Bˆrse;50H_Frontoffice;Bˆrse;10YDE-VE-------2;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Quelle;0;0;47622,67;0;0;0;100;0;0;0;100;0;0;0;47622,67;;;;;;;;;;;;;;;;;;;;;;;;50;50;50;50;50;50;50;50;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;112,5;;;;;;;;;;;;;;;;;;;;;;;;5837,23;5208,86;5208,86;5208,86;5208,86;5237,5;5237,5;5237,5;5237,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.622,67;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
16.09.2022;16.09.2022;12:00;13:45;RD-22-02612;Redispatch;20220916_RD-22-02612_13(1)MKW-004;Markt-KW 13(1);I;Amtshilfe f¸r;TenneT DE;TTG / 220kV / Altheim - Y-Simbach / 233/230;50Hertz;Lippendorf EnBW;11WD8LIPD1LD4--9;KW-Block;10YDE-VE-------2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Senke;0;0;3933,22;0;100;0;0;0;100;0;0;0;3933,22;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-155;-155;-41;-41;-146;-146;-46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-182,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2456,75;-2456,75;-649,85;-649,85;-2314,1;-2314,1;-729,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-11.570,50;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;201,91;962,2;467,57;826,16;4905,96;4145,12;3994,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15503,72
16.09.2022;16.09.2022;12:00;13:00;RD-22-02612;Redispatch;20220916_RD-22-02612_13(1)MKW-005;Markt-KW 13(1);I;Amtshilfe f¸r;TenneT DE;TTG / 220kV / Altheim - Y-Simbach / 233/230;50Hertz;Boxberg (Standort);11WD8BOXB1L----J;KW-Standort;10YDE-VE-------2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Senke;0;0;-5427,96;0;100;0;0;0;100;0;0;0;-5427,96;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-126;-126;-126;-126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2432;-2432;-2432;-2432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-9.728,00;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;428,63;858,63;1127,98;1884,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4300,04
16.09.2022;16.09.2022;12:00;13:00;RD-22-02612;Redispatch;20220916_RD-22-02612_13(1)MKW-006;Markt-KW 13(1);I;Amtshilfe f¸r;TenneT DE;TTG / 220kV / Altheim - Y-Simbach / 233/230;50Hertz;J‰nschwalde (Standort);11WD8JAEN1L----Z;KW-Standort;10YDE-VE-------2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Senke;0;0;-3489,92;0;100;0;0;0;100;0;0;0;-3489,92;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-75;-75;-75;-75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.517,55;-1.517,55;-1.517,55;-1.517,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-6.070,20;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;110,55;506,58;717,61;1.245,54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.580,28
16.09.2022;16.09.2022;15:00;18:00;RD-22-02620;Redispatch;20220916_RD-22-02620_13(1)MKW-002;Markt-KW 13(1);I;Amtshilfe f¸r;TenneT DE;TTG / 380kV / Grohnde - Vˆrden - W¸rgassen / 1;50Hertz;Boxberg (Standort);11WD8BOXB1L----J;KW-Standort;10YDE-VE-------2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Senke;0;0;-17062,75;0;100;0;0;0;100;0;0;0;-17062,75;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-70;-70;-70;-70;-150;-150;-150;-150;-150;-150;-150;-150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-370;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.404,34;-1.404,34;-1.404,34;-1.404,34;-2.821,21;-2.821,21;-2.821,21;-2.821,21;-2.821,21;-2.821,21;-2.821,21;-2.821,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-28.187,04;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;551,16;562,31;553,23;637,32;3.370,84;1.281,55;626,59;374,1;2.533,43;544,05;59,43;30,29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.124,29
16.09.2022;16.09.2022;14:00;18:00;RD-22-02620;Redispatch;20220916_RD-22-02620_13(1)MKW-003;Markt-KW 13(1);I;Amtshilfe f¸r;TenneT DE;TTG / 380kV / Grohnde - Vˆrden - W¸rgassen / 1;50Hertz;J‰nschwalde (Standort);11WD8JAEN1L----Z;KW-Standort;10YDE-VE-------2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Senke;0;0;-17648,38;0;100;0;0;0;100;0;0;0;-17648,38;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-57;-57;-57;-57;0;0;0;0;-150;-150;-150;-150;-150;-150;-150;-150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-357;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.153,84;-1.153,84;-1.153,84;-1.153,84;0;0;0;0;-3.073,16;-3.073,16;-3.073,16;-3.073,16;-3.073,16;-3.073,16;-3.073,16;-3.073,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-29.200,64;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;628,71;550,84;520,25;374,54;0;0;0;0;3.560,76;1.403,54;694,75;420,53;2.686,81;605,33;70,83;35,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.552,26
16.09.2022;16.09.2022;14:00;15:00;RD-22-02620;Redispatch;20220916_RD-22-02620_13(1)MKW-004;Markt-KW 13(1);I;Amtshilfe f¸r;TenneT DE;TTG / 380kV / Grohnde - Vˆrden - W¸rgassen / 1;50Hertz;Lippendorf VE;11WD8LIPD1LD8--U;KW-Block;10YDE-VE-------2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Senke;0;0;-5527,09;0;100;0;0;0;100;0;0;0;-5527,09;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-165;-165;-165;-165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3.021,65;-3.021,65;-3.021,65;-3.021,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-12.086,60;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.966,49;1.735,06;1.650,09;1.207,87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.559,51
16.09.2022;16.09.2022;14:00;16:00;RD-22-02620;Redispatch;20220916_RD-22-02620_13(1)MKW-005;Markt-KW 13(1);I;Amtshilfe f¸r;TenneT DE;TTG / 380kV / Grohnde - Vˆrden - W¸rgassen / 1;50Hertz;Schwarze Pumpe (Standort);11WD8SWPU1L----5;KW-Standort;10YDE-VE-------2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Senke;0;0;-12473,83;0;100;0;0;0;100;0;0;0;-12473,83;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-194;-194;-194;-194;-230;-230;-230;-230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-424;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3.366,78;-3.366,78;-3.366,78;-3.366,78;-3.962,81;-3.962,81;-3.962,81;-3.962,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-29.318,36;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.401,02;2.125,61;2.028,16;1.496,55;2.071,51;2.140,22;2.147,11;2.434,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.844,53
17.09.2022;17.09.2022;00:00;00:00;RD-22-02622;Redispatch;20220917_RD-22-02622_13(1)MKW-011;Markt-KW 13(1);I;PRD1;50Hertz/Amprion/TenneT DE/TransnetBW;AMP-TTG / 380kV / Meppen - Y-Niederlangen / Emsland O-W;50Hertz;Lippendorf EnBW;11WD8LIPD1LD4--9;KW-Block;10YDE-VE-------2;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;E;Nein;Senke;0;0;-83063,54;48,48829;37,62722;2,54825;11,33624;55,02452;32,85277;2,22491;9,8978;-45705,31418;-27288,67375;-1848,089008;-8221,463062;-180;-180;-180;-180;-360;-360;-360;-360;-413;-413;-413;-413;-413;-413;-413;-413;-353;-353;-353;-353;-180;-180;-180;-180;0;0;0;0;-100;-100;-100;-100;-100;-100;-100;-100;-35;-35;-35;-35;-41;-41;-41;-41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;-50;0;0;0;0;;;;;-2.425,00;-2.853,00;-2.853,00;-2.853,00;-2.853,00;-5.706,00;-5.706,00;-5.706,00;-5.706,00;-6.546,05;-6.546,05;-6.546,05;-6.546,05;-6.546,05;-6.546,05;-6.546,05;-6.546,05;-5.595,05;-5.595,05;-5.595,05;-5.595,05;-2.853,00;-2.853,00;-2.853,00;-2.853,00;0;0;0;0;-1.585,00;-1.585,00;-1.585,00;-1.585,00;-1.585,00;-1.585,00;-1.585,00;-1.585,00;-554,75;-554,75;-554,75;-554,75;-649,85;-649,85;-649,85;-649,85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-792,5;-792,5;-792,5;-792,5;-792,5;-792,5;-792,5;-792,5;-792,5;-792,5;-792,5;-792,5;-792,5;-792,5;-792,5;-792,5;-792,5;-792,5;-792,5;-792,5;0;0;0;0;;;;;-153.745,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;872,84;951,69;1.227,25;1.225,30;1.643,66;2.325,80;2.873,05;2.426,21;3.680,68;2.564,88;2.738,80;1.758,76;2.974,53;2.328,16;2.409,58;2.689,67;1.985,06;2.141,27;2.422,01;2.734,84;1.523,73;1.216,76;1.377,37;1.785,04;0;0;0;0;1.370,88;762,73;376,45;278,18;401,09;352,47;338,73;490,67;426,48;327,08;298,14;358,05;176;310,05;731,12;2.927,65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.589,10;709,82;277,41;158,77;370,42;281,28;269,8;378,56;287,08;288,04;371,92;360,48;701,61;466,19;418,68;271,85;499,85;442,41;430,29;1.305,19;0;0;0;0;;;;;70.681,46
17.09.2022;17.09.2022;00:00;05:00;RD-22-02622;Redispatch;20220917_RD-22-02622_13(1)MKW-012;Markt-KW 13(1);I;PRD1;50Hertz/Amprion/TenneT DE/TransnetBW;AMP-TTG / 380kV / Meppen - Y-Niederlangen / Emsland O-W;50Hertz;Lippendorf VE;11WD8LIPD1LD8--U;KW-Block;10YDE-VE-------2;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Senke;0;0;-34423,22;48,48829;37,62722;2,54825;11,33624;56,66132;31,65715;2,14394;9,53759;-19504,65084;-10897,41039;-738,0131829;-3283,145588;-200;-200;-200;-200;-253;-253;-253;-253;0;0;0;0;-253;-253;-253;-253;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-706;-3.630,46;-3.630,46;-3.630,46;-3.630,46;-4.592,53;-4.592,53;-4.592,53;-4.592,53;0;0;0;0;-4.592,53;-4.592,53;-4.592,53;-4.592,53;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-51.262,08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;930,48;1.012,32;1.304,01;1.300,90;1.091,73;1.562,27;1.943,10;1.625,71;0;0;0;0;1.746,86;1.349,44;1.399,19;1.572,85;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.838,86
