;;;;;;;;;;;;;;;;;Art der Anweisung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kostenteilungsschlüssel (ohne GP Netzreseve);;;;Weiterverrechnungsschlüssel (mit GP Netzreseve);;;;;;;;Leistung (MW);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;variable Erzeugungsauslagen [€/Viertelstunde];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Arbeitsabhängige Sonstige Kosten [€/Viertelstunden];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Anteiliger Werteverbrauch [€/Viertelstunde];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Entgangene Erlöse Intraday [€/Viertelstunde];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM von ;TM bis;Zeit von;Zeit bis;GM-Ident;GM-Art;Tages-TM-Ident;TM-Art;Ursache;Auslösender Prozess;Anforderer;überlastetes Netzelement;Zuständiger RAS-ÜNB ;Aktivierungsobjekt;AO-Code;AO-Art;Anschlussregelzone des AO;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Art der Anweisung;Gegenläufigkeit;TM-Richtung;Kostenteilungsmechanismus;Kostenstand;Gesamtkosten [€] ;Anteil WV Amprion;Anteil WV TenneT;Anteil WV TransnetBW;Anteil WV 50Hertz;Anteil WV Amprion;Anteil WV TenneT;Anteil WV TransnetBW;Anteil WV 50Hertz;WV Amprion;WV TenneT;WV TransnetBW;WV 50Hertz;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Menge [MWh] ;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Summe variable Erzeugungsauslagen [€];Kosten für An- und Abfahrt [€];Auslagen für die Herstellung der Betriebsbereitschaft oder die Verschiebung einer geplanten Revision;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Arbeitsabhängige Sonstige Kosten [€];Arbeitsunabhängige Sonstige Kosten [€];1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Anteiliger Werteverbrauch [€];1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Entgangene Erlöse Intraday [€];Andere Kosten [€];ProposingEntity_1;Share_Factor_1;ProposingEntity_2;Share_Factor_2;ProposingEntity_3;Share_Factor_3;ProposingEntity_4;Share_Factor_4;ProposingEntity_5;Share_Factor_5;ProposingEntity_6;Share_Factor_6;ProposingEntity_7;Share_Factor_7;ProposingEntity_8;Share_Factor_8;ProposingEntity_9;Share_Factor_9;ProposingEntity_10;Share_Factor_10;ProposingEntity_11;Share_Factor_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.12.2022;04.12.2022;2:00;11:00;RD-22-03368;Redispatch;20221204_RD-22-03368_13(1)MKW-034;Markt-KW 13(1);I;PRD2;50Hertz/Amprion/TenneT DE/TransnetBW;AMP-TTG / 380kV / Doerpen West - Y-Niederlangen / Emsland O-W;50Hertz;Schwarze Pumpe (Standort);11WD8SWPU1L----5;KW-Standort;10YDE-VE-------2;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;0;Bezug;0;teilabgerechnet;-56586,68;40,58734;54,98115;1,38846;3,04305;29,19951;39,55476;29,05648;2,18925;-16523,03329;-22382,72547;-16442,09736;-1238,823892;;;;;;;;;-71;-71;-71;-71;-73;-73;-73;-73;-30;-30;-30;-30;0;0;0;0;0;0;0;0;-99;-99;-99;-99;-70;-70;-70;-70;-270;-270;-270;-270;-70;-70;-70;-70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-683;;;;;;;;;-1471,78;-1471,78;-1471,78;-1471,78;-1512,54;-1512,54;-1512,54;-1512,54;-630,03;-630,03;-630,03;-630,03;0;0;0;0;0;0;0;0;-2048,61;-2048,61;-2048,61;-2048,61;-1448,29;-1448,29;-1448,29;-1448,29;-5588,74;-5588,74;-5588,74;-5588,74;-1448,29;-1448,29;-1448,29;-1448,29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-56.593,12;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0,000374013;9,34E-05;0,001934612;0,002536507;1,72E-05;0,000309328;0,007529013;1,011695423;0,005639286;0,020237564;0,014449687;0,370002554;0;0;0;0;0;0;0;0;4,642457936;0,348543608;0,006796044;3,08E-05;0,009705026;2,01E-07;3,75E-08;2,13E-06;0,000615688;5,87E-05;0,000531116;0,000184323;0,000342243;7,15E-05;1,16E-06;3,79E-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,44419698;;Amprion;50;Tennet;40;Transelectrica;10;TransnetBW;;50Hertz;;HOPS;;helloElectrica;;SEPS;;Elia;;APG;;PSE;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.12.2022;04.12.2022;2:00;5:00;RD-22-03368;Redispatch;20221204_RD-22-03368_13(1)MKW-039;Markt-KW 13(1);I;PRD2;50Hertz/Amprion/TenneT DE/TransnetBW;AMP-TTG / 380kV / Doerpen West - Y-Niederlangen / Emsland O-W;50Hertz;50H Halle-Dieselstr HKW-BlockA;11W0-0000-0409-D;KW-Standort;10YDE-VE-------2;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;0;Bezug;0;teilabgerechnet;-11043,36;40,58734;54,98115;1,38846;3,04305;33,661;45,59847;18,21678;2,52375;-3717,30541;-5035,603197;-2011,744596;-278,706798;;;;;;;;;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-30;;;;;;;;;-920,28;-920,28;-920,28;-920,28;-920,28;-920,28;-920,28;-920,28;-920,28;-920,28;-920,28;-920,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-11.043,36;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.12.2022;04.12.2022;3:00;5:00;RD-22-03368;Redispatch;20221204_RD-22-03368_13(1)MKW-040;Markt-KW 13(1);I;PRD2;50Hertz/Amprion/TenneT DE/TransnetBW;AMP-TTG / 380kV / Doerpen West - Y-Niederlangen / Emsland O-W;50Hertz;50H Halle-Dieselstr HKW-BlockB;11W0-0000-0411-X;KW-Standort;10YDE-VE-------2;;;;;;;;;;;;;E;E;E;E;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;0;Bezug;0;teilabgerechnet;-7362,24;40,58734;54,98115;1,38846;3,04305;33,82582;45,82174;17,81634;2,5361;-2490,33805;-3373,506471;-1311,68171;-186,7137686;;;;;;;;;;;;;-10;-10;-10;-10;-10;-10;-10;-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-20;;;;;;;;;;;;;-920,28;-920,28;-920,28;-920,28;-920,28;-920,28;-920,28;-920,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-7.362,24;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.12.2022;19.12.2022;2:00;0:00;RD-22-03475;Redispatch;20221219_RD-22-03475_13(1)MKW-069;Markt-KW 13(1);I;PRD2;50Hertz/Amprion/TenneT DE/TransnetBW;AMP-TTG / 380kV / Doerpen West - Meppen - Niederlangen / Emsland O-W;50Hertz;Lippendorf EnBW;11WD8LIPD1LD4--9;KW-Block;10YDE-VE-------2;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;E;0;Bezug;0;teilabgerechnet;-454796,51;40,58734;54,98115;1,38846;3,04305;41,33923;52,92347;2,80814;2,92916;-188009,3753;-240694,0945;-12771,32272;-13321,71745;;;;;;;;;-163;-163;-163;-163;-200;-200;-200;-200;-200;-200;-200;-200;-166;-166;-166;-166;-166;-166;-166;-166;-172;-172;-172;-172;-423;-423;-423;-423;-423;-423;-423;-423;-423;-423;-423;-423;-423;-423;-423;-423;-423;-423;-423;-423;-223;-223;-223;-223;-199;-199;-199;-199;-50;-50;-50;-50;-223;-223;-223;-223;-423;-423;-423;-423;-423;-423;-423;-423;-423;-423;-423;-423;-451;-451;-451;-451;-451;-451;-451;-451;-451;-451;-451;-451;-257;-257;-257;-257;;;;;-6756;;;;;;;;;-3011,43;-3011,43;-3011,43;-3011,43;-3695;-3695;-3695;-3695;-3695;-3695;-3695;-3695;-3066,85;-3066,85;-3066,85;-3066,85;-3066,85;-3066,85;-3066,85;-3066,85;-3177,7;-3177,7;-3177,7;-3177,7;-7814,93;-7814,93;-7814,93;-7814,93;-7814,93;-7814,93;-7814,93;-7814,93;-7814,93;-7814,93;-7814,93;-7814,93;-7814,93;-7814,93;-7814,93;-7814,93;-7814,93;-7814,93;-7814,93;-7814,93;-4119,93;-4119,93;-4119,93;-4119,93;-3676,53;-3676,53;-3676,53;-3676,53;-923,75;-923,75;-923,75;-923,75;-4119,93;-4119,93;-4119,93;-4119,93;-7814,93;-7814,93;-7814,93;-7814,93;-7814,93;-7814,93;-7814,93;-7814,93;-7814,93;-7814,93;-7814,93;-7814,93;-8332,23;-8332,23;-8332,23;-8332,23;-8332,23;-8332,23;-8332,23;-8332,23;-8332,23;-8332,23;-8332,23;-8332,23;-4748,08;-4748,08;-4748,08;-4748,08;;;;;-499.268,72;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200,9913669;0;200,9913669;200,9913669;200,9913669;244,6873543;244,6873543;244,6873543;244,6873543;507,88;507,88;507,88;507,88;507,88;507,88;507,88;507,88;507,88;507,88;507,88;507,88;507,88;507,88;507,88;507,88;507,88;507,88;507,88;507,88;315,82;315,82;315,82;315,82;288,03;288,03;288,03;288,03;83,83;83,83;83,83;83,83;315,82;315,82;315,82;315,82;507,88;507,88;0;0;507,88;507,88;507,88;507,88;507,88;507,88;507,88;507,88;532,18;532,18;532,18;532,18;532,18;532,18;532,18;532,18;532,18;532,18;532,18;0;354,73;354,73;354,73;0;;;;;27951,28488;;;;;;;;;618,8881643;676,9618357;653,2677778;376,9945894;704,8203991;696,4124169;764,691796;1030,532151;805,2594235;753,5343681;770,9135255;973,902439;671,0221583;598,2050839;408,6665228;0;638,582494;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2129,03;726,85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;549,57;0;0;0;1972,82;;;;;16520,92514;;;;;;;;;;;;;;;;;;;;;;;
